currency_id,commits_count,contributors_count,forks_count,stars_count,github_link
1,38515,916.0,35610,71205,https://github.com/bitcoin/bitcoin
2,14469,935.0,18380,43512,https://github.com/ethereum/wiki/wiki/White-Paper
4,13833,300.0,1287,2295,https://github.com/bnb-chain
5,12889,110.0,1477,4350,https://github.com/ripple/rippled
6,836,17.0,266,435,https://github.com/centrehq/centre-tokens
8,14211,272.0,2802,14317,https://github.com/dogecoin/dogecoin/blob/master/README.md
9,23522,458.0,3150,10562,https://github.com/solana-labs
10,18112,189.0,1359,3441,https://github.com/tronprotocol/java-tron
11,4251,271.0,1629,7027,https://github.com/paritytech/polkadot
13,14233,614.0,443,856,https://github.com/maticnetwork/whitepaper/
14,472,32.0,538,1980,https://github.com/ton-blockchain
15,26765,,35610,4225,https://github.com/litecoin-project/litecoin
16,61,10.0,21,35,https://github.com/certusone/wormhole-token-list/blob/main/content/by_source.csv
17,98,10.0,89,116,https://github.com/WrappedBTC/bitcoin-token-smart-contracts
20,9138,88.0,538,1878,https://github.com/ava-labs/avalanchego
21,8834,89.0,1051,3068,https://github.com/stellar/stellar-core
22,21848,178.0,1427,4990,https://github.com/smartcontractkit/chainlink
23,10,5.0,95,133,https://github.com/paxosglobal/busd-contract
24,1516,27.0,134,314,https://github.com/trusttoken/smart-contracts
26,11347,270.0,3532,8079,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf
28,11671,452.0,2954,5400,https://github.com/cosmos
29,6425,81.0,209,155,https://github.com/ethereumclassic/ethereumclassic.github.io
30,8306,78.0,86,225,https://github.com/hashgraph
31,18671,148.0,259,1342,https://github.com/dfinity/ic
32,19813,208.0,1287,2681,https://github.com/filecoin-project/
33,916,28.0,52,117,https://github.com/mantlenetworkio
34,3980,33.0,170,298,https://github.com/lidofinance
35,424,19.0,372,457,https://github.com/crypto-org-chain/chain-main
36,19028,453.0,3808,5432,https://github.com/aptos-labs/aptos-core/blob/main/developer-docs-site/static/papers/whitepaper.pdf
38,9089,42.0,243,521,https://github.com/OffchainLabs
39,3340,20.0,248,772,https://github.com/vechain
40,5787,127.0,512,2096,https://github.com/nearprotocol/nearcore
41,12883,175.0,2369,4441,https://github.com/ethereum-optimism/
42,51,10.0,367,820,https://github.com/makerdao
43,2145,27.0,430,637,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf
44,1414,20.0,114,288,https://github.com/graphprotocol
45,4018,99.0,425,1273,https://github.com/algorand/go-algorand
46,11390,,18380,47,https://github.com/xinfinorg
51,19606,85.0,641,2817,https://github.com/stacks-network
52,27020,44.0,190,886,https://github.com/multiversx
53,22491,61.0,49,93,https://github.com/AntelopeIO/leap
54,1985,8.0,85,357,https://github.com/thetatoken
56,3721,16.0,37,46,https://github.com/InjectiveLabs
57,3346,33.0,71,212,https://github.com/Fantom-Foundation
58,18725,468.0,295,594,https://github.com/bitcoin-sv/bitcoin-sv
59,84,8.0,57,156,https://github.com/decentraland/mana
63,55,9.0,95,162,https://github.com/paxosglobal/pax-contracts
64,1412,62.0,1019,3433,https://github.com/neo-project/neo
65,263,4.0,15,44,https://github.com/thorchain/Resources/tree/master/Whitepapers/THORChain/whitepaper-en.md
66,1388,36.0,300,405,https://github.com/kava-labs
67,9,4.0,38,48,https://github.com/paxosglobal/paxos-gold-contract
69,26094,691.0,712,1125,https://github.com/bitcoin-abc
70,33986,65.0,152,500,https://github.com/onflow
71,2574,16.0,191,836,https://github.com/rocket-pool/rocketpool
74,5905,43.0,173,350,https://github.com/klaytn/klaytn
76,661,14.0,151,383,https://github.com/fraxfinance
77,11725,53.0,132,267,https://github.com/iotaledger
78,17949,490.0,2042,4776,https://github.com/zcash/zips/blob/master/protocol/protocol.pdf
79,13151,43.0,185,348,https://github.com/casper-network/
80,9844,208.0,12095,5209,https://github.com/MystenLabs
82,170,23.0,252,1068,https://github.com/bittorrent
83,1276,7.0,58,408,https://github.com/curvefi/curve-contract
84,4248,32.0,183,616,https://github.com/Conflux-Chain
85,26041,95.0,458,1802,https://github.com/MinaProtocol/mina
86,29,4.0,1,4,https://github.com/gatechain
87,145,14.0,86,357,https://github.com/terra-money/core
88,1320,126.0,1443,2366,https://github.com/trustwallet
91,78,22.0,1208,1748,https://github.com/compound-finance/compound-protocol
92,3,,55,97,https://github.com/nexofinance/NEXO-Token/
97,1,2.0,28,82,https://github.com/gemini/dollar
98,113,5.0,21,52,https://github.com/flare-foundation/
99,737,31.0,189,667,https://github.com/AstarNetwork/Astar
100,22798,,35610,1466,https://github.com/dashpay/dash
102,6612,98.0,3397,2335,https://github.com/pancakeswap
104,2774,34.0,171,800,https://github.com/ArweaveTeam/arweave
105,9954,58.0,279,1132,https://github.com/Zilliqa/Zilliqa
106,8470,35.0,89,306,https://github.com/oasisprotocol/oasis-core
107,460,19.0,99,412,https://github.com/gnosis/research/blob/master/gnosis-whitepaper.pdf
108,1056,15.0,26,64,https://github.com/brave-intl/bat-ledger
109,1962,,623,3,https://github.com/SafePalWallet
110,7,3.0,111,138,https://github.com/1inch
111,774,28.0,747,2443,https://github.com/sei-protocol
112,11413,161.0,2040,10940,https://github.com/Chia-Network/chia-blockchain
113,3513,34.0,83,291,https://github.com/Loopring/protocols/blob/master/packages/loopring_v3/DESIGN.md
114,98,12.0,204,403,https://github.com/enjin/
115,1388,12.0,11,64,https://github.com/helium/
116,40995,653.0,403,1185,https://github.com/qtumproject/qtum/
117,462,35.0,546,1134,https://github.com/ensdomains
118,7870,9.0,4,11,https://github.com/NemProject
119,18580,148.0,347,641,https://github.com/BTCGPU/BTCGPU/wiki/Technical-Spec
120,1734,16.0,42,36,https://github.com/singnet/
121,492,4.0,85,165,https://github.com/convex-eth/platform
122,10399,77.0,320,1458,https://github.com/DimensionDev/Maskbook
123,14740,353.0,183,491,https://github.com/celo-org/celo-monorepo/
124,1985,8.0,85,357,https://github.com/thetatoken/theta-protocol-ledger
125,6633,113.0,299,703,https://github.com/decred/
126,282,9.0,23,52,https://github.com/Ankr-network
127,16641,50.0,646,1049,https://github.com/RavenProject/Ravencoin
128,2934,136.0,441,774,https://github.com/osmosis-labs/osmosis
129,2200,31.0,292,178,https://github.com/oceanprotocol
130,439,29.0,305,254,https://github.com/yearn/iearn-finance
131,3025,48.0,156,509,https://github.com/livepeer/wiki/blob/master/WHITEPAPER.md
132,17530,49.0,281,1033,https://github.com/holochain/holochain-rust
136,21164,49.0,236,803,https://github.com/aelfProject
137,646,27.0,33,68,https://github.com/fetchai
139,13068,62.0,442,1171,https://github.com/wavesplatform/
140,4,2.0,4,10,https://github.com/golemfactory/golem
144,69,,10,10,https://github.com/floki-inu
145,691,14.0,16,32,https://github.com/threshold-network
146,5571,20.0,37,72,https://github.com/icon-project
148,438,7.0,5,47,https://github.com/SiaFoundation
150,7277,7.0,6,17,https://github.com/Solar-network
151,145,14.0,86,357,https://github.com/terra-money/core
153,9195,78.0,99,318,https://github.com/openhive-network/hive
154,17269,103.0,180,314,https://github.com/0xProject
155,13581,,18380,199,https://github.com/ethereumpow
156,2368,55.0,323,815,https://github.com/ontio
157,1576,9.0,22,22,https://github.com/bloxapp/ssv-web
158,2006,42.0,301,823,https://github.com/PureStake/moonbeam
160,3986,21.0,39,97,https://github.com/bandprotocol
161,41,3.0,66,139,https://github.com/bcnmy
162,8126,70.0,291,1455,https://github.com/harmony-one
163,16137,215.0,53,126,https://github.com/worldwide-asset-exchange/
164,8761,21.0,1512,1769,https://github.com/sushiswap/sushiswap
165,1247,29.0,65,92,https://github.com/axelarnetwork
166,3037,81.0,317,1481,https://github.com/iotexproject/iotex-core
167,18,3.0,6,34,https://github.com/TreasureProject/
169,145,14.0,86,357,https://github.com/terra-project
170,3131,32.0,91,235,https://github.com/kadena-io/chainweb-node
173,8388,46.0,202,1071,https://github.com/nervosnetwork/rfcs/blob/master/rfcs/0002-ckb/0002-ckb.md
174,21667,,241,79,https://github.com/DigiByte-Core
176,2,,15,9,https://github.com/daomaker
177,2205,53.0,138,1130,https://github.com/mobilecoinfoundation/mobilecoin
178,233,13.0,48,142,https://github.com/ribbon-finance
180,589,16.0,46,127,https://github.com/skalenetwork
181,4635,200.0,264,192,https://github.com/runonflux
183,14568,389.0,110,249,https://github.com/HorizenOfficial
185,327,3.0,8,18,https://github.com/reserve-protocol
186,11824,260.0,71,145,https://github.com/tomochain/
187,3692,34.0,47,134,https://github.com/tonlabs/ever-sdk
189,33403,78.0,480,2760,https://github.com/LiskHQ/lisk-sdk
190,5728,89.0,811,3454,https://github.com/nanocurrency
191,8414,98.0,392,2734,https://github.com/storj/storj
192,4,2.0,4,4,https://github.com/Alchemy-GPS
194,972,16.0,10,34,https://github.com/cartesi
195,410,13.0,77,109,https://github.com/celer-network
196,514,,1035,1,https://github.com/playdapp
199,8470,247.0,984,3717,https://github.com/status-im
200,5,,18,48,https://github.com/amptoken
